 written on 22Mar2022 at 20:10:06 
   2.82400000000000        2.82400000000000       0.000000000000000E+000
  0.000000000000000E+000   2.82400000000000        2.82400000000000     
   2.82400000000000       0.000000000000000E+000   2.82400000000000     
          16
          43
    3    3    3    3    1    3    3    1    1    3    1    1    1    3    3
    3    3    1    1    3    1    1    1    3    1    1    3    3    3    3
    1    1    1    3    1    1    3    3    1    3    3    3    3

   -2    0    1
   14    9    0.22819405E-01  0.10471817E-02
   15    9   -0.26536321E+00 -0.36375439E-03
   16    9    0.19941864E-01 -0.32563932E-03
    1   10   -0.37329707E-02  0.39827379E-02
    2   10   -0.17027598E-03  0.12094306E-02
    3   10    0.31430017E-02 -0.26616698E-02
    4   10    0.25006630E-02 -0.35159734E-02
    5   10    0.19110245E-02 -0.30964806E-02
    6   10    0.54502149E-03  0.11245938E-02
    7   10   -0.20903778E-03  0.17519006E-02
    8   10    0.58183939E-03  0.73589335E-04
    9   10    0.72334705E-02 -0.29185483E-03
   10   10    0.12655114E-01 -0.91521115E-04
   11   10    0.79341290E-01  0.92844879E-03
   12   10    0.94002597E-02 -0.77707381E-03
   13   10   -0.43334516E-01 -0.43300230E-03
   14   10   -0.71500707E-01 -0.99249201E-03
   15   10   -0.13487428E+00 -0.44954471E-04
   16   10   -0.18381315E-01  0.27615872E-02
    1   11    0.35872552E-02  0.30550207E-03
    2   11   -0.14493731E-03  0.21749230E-03
    3   11    0.19705705E-04 -0.28728129E-03
    4   11   -0.29468287E-02 -0.20949170E-03
    5   11   -0.66495353E-03  0.11688474E-02
    6   11   -0.15147449E-02 -0.11943465E-02
    7   11    0.83532276E-03 -0.21127587E-03
    8   11    0.17528631E-02 -0.17725257E-02
    9   11    0.14438326E-01  0.12048551E-02
   10   11    0.13135255E-01  0.54920764E-03
   11   11    0.27956460E-01 -0.52210751E-03
   12   11    0.13091145E-01 -0.10714796E-02
   13   11    0.13193400E+00  0.40686389E-03
   14   11    0.70402843E-01 -0.20347038E-02
