 written on  1Nov2023 at 16:06:55 
   3.5717025864237320        6.4991244369867793        6.4991244369867793     
   6.4991244369867793        3.5717025864237320        6.4991244369867793     
   6.4991244369867793        6.4991244369867793        3.5717025864237320     
          10
          37
    2    2    3    1    3    1    1    2    1    1    1    3    2    2    1
    1    2    1    1    1    2    1    1    2    2    3    1    1    1    2
    1    1    3    1    3    2    2

   -2    0    1
    2    6   -0.40911349E-01  0.33579207E-01
    3    6   -0.15476694E-01  0.73963504E-02
    4    6    0.27971155E-01  0.30412836E-01
    5    6   -0.34076004E-02 -0.26734669E-01
    6    6    0.22601419E-01  0.24162624E-01
    7    6   -0.87417051E-02  0.26506001E-01
    8    6    0.21929779E+00 -0.23763701E-02
    9    6   -0.18891724E-02 -0.46465439E-02
   10    6   -0.84033521E-01 -0.73589882E-02
    1    7    0.15705306E+00  0.53408126E-01
    2    7   -0.12616052E-01 -0.13215319E-01
    3    7    0.57085741E-01  0.71503465E-02
    4    7   -0.45120285E-01 -0.15273204E-01
    5    7   -0.36586024E-01  0.18333199E-01
    6    7    0.48706760E-01 -0.71249350E-02
    7    7   -0.57912639E-01 -0.24405588E-01
    8    7    0.13859049E-01  0.90664361E-02
    9    7    0.35878899E-01  0.11111041E+00
   10    7   -0.27507225E-01  0.90544161E-03
    1    8    0.12616050E-01 -0.13215319E-01
    2    8    0.15705306E+00 -0.53408125E-01
    3    8    0.45120285E-01 -0.15273206E-01
    4    8    0.57085744E-01 -0.71503463E-02
    5    8   -0.48706760E-01 -0.71249356E-02
    6    8   -0.36586025E-01 -0.18333198E-01
    7    8   -0.13859050E-01  0.90664360E-02
    8    8   -0.57912639E-01  0.24405588E-01
    9    8    0.27507226E-01  0.90544197E-03
   10    8    0.35878896E-01 -0.11111041E+00
    1    9    0.33533978E-01  0.21297193E-01
    2    9    0.55072281E-01  0.26406917E-01
    3    9   -0.10080972E+00 -0.29733714E-01
    4    9    0.97070989E-02  0.59610235E-01
    5    9   -0.33039528E-01 -0.10800320E-01
    6    9    0.14350622E-01  0.77202877E-01
    7    9    0.18305251E-01 -0.86364169E-01
    8    9    0.56268158E-01  0.56449818E-01
    9    9    0.50315479E-01  0.22089147E-01
   10    9    0.15446246E-01 -0.31290676E-02
    1   10   -0.55072282E-01  0.26406917E-01
    2   10    0.33533976E-01 -0.21297192E-01
    3   10   -0.97070974E-02  0.59610238E-01
    4   10   -0.10080972E+00  0.29733717E-01
    5   10   -0.14350621E-01  0.77202876E-01
    6   10   -0.33039529E-01  0.10800322E-01
    7   10   -0.56268158E-01  0.56449817E-01
    8   10    0.18305253E-01  0.86364171E-01
    9   10   -0.15446248E-01 -0.31290656E-02
   10   10    0.50315482E-01 -0.22089143E-01

   -1   -1    2
    1    1   -0.11618491E-01 -0.41726133E-01
